dataset,dataset_label,family,model,class_id,class_label,precision,recall,f1_score,support
nsl_kdd,NSL-KDD,DL,BiLSTM Attention,1,DoS,0.9965103598691385,0.9947746570868713,0.9956417520156897,9186.0
nsl_kdd,NSL-KDD,DL,BiLSTM Attention,2,Probe,0.8330295297119942,0.9802659802659802,0.900670082774931,2331.0
nsl_kdd,NSL-KDD,DL,BiLSTM Attention,3,R2L,0.4835443037974684,0.9597989949748744,0.6430976430976431,199.0
nsl_kdd,NSL-KDD,DL,BiLSTM Attention,4,U2R,0.051470588235294115,0.7,0.0958904109589041,10.0
nsl_kdd,NSL-KDD,DL,CNN-LSTM Hybrid,0,Benign,0.9860426929392446,0.9808449031108472,0.9834369300629024,13469.0
nsl_kdd,NSL-KDD,DL,CNN-LSTM Hybrid,1,DoS,0.9961881942931823,0.995754408883083,0.9959712543554007,9186.0
nsl_kdd,NSL-KDD,DL,CNN-LSTM Hybrid,2,Probe,0.9855595667870036,0.9369369369369369,0.9606333846492192,2331.0
nsl_kdd,NSL-KDD,DL,CNN-LSTM Hybrid,3,R2L,0.5838709677419355,0.9095477386934674,0.7111984282907662,199.0
nsl_kdd,NSL-KDD,DL,CNN-LSTM Hybrid,4,U2R,0.07865168539325842,0.7,0.1414141414141414,10.0
nsl_kdd,NSL-KDD,DL,CNN1D,0,Benign,0.9963811821471653,0.9812161259187765,0.9887405079863839,13469.0
nsl_kdd,NSL-KDD,DL,CNN1D,1,DoS,0.9982589771490751,0.9986936642717178,0.998476273400087,9186.0
nsl_kdd,NSL-KDD,DL,CNN1D,2,Probe,0.9799059427105601,0.9832689832689833,0.9815845824411135,2331.0
nsl_kdd,NSL-KDD,DL,CNN1D,3,R2L,0.5693215339233039,0.9698492462311558,0.7174721189591078,199.0
nsl_kdd,NSL-KDD,DL,CNN1D,4,U2R,0.12698412698412698,0.8,0.2191780821917808,10.0
nsl_kdd,NSL-KDD,DL,MLP,0,Benign,0.9964642582628747,0.9625064963991388,0.9791910570640885,13469.0
nsl_kdd,NSL-KDD,DL,MLP,1,DoS,0.9982584086208773,0.9983670803396473,0.9983127415228868,9186.0
nsl_kdd,NSL-KDD,DL,MLP,2,Probe,0.9556016597510374,0.987987987987988,0.9715249947268508,2331.0
nsl_kdd,NSL-KDD,DL,MLP,3,R2L,0.35834896810506567,0.9597989949748744,0.5218579234972678,199.0
nsl_kdd,NSL-KDD,DL,MLP,4,U2R,0.14545454545454545,0.8,0.24615384615384617,10.0
nsl_kdd,NSL-KDD,ML,LightGBM,0,Benign,0.9990352504638219,0.999480288068899,0.9992577197149644,13469.0
nsl_kdd,NSL-KDD,ML,LightGBM,1,DoS,1.0,0.9997822773786197,0.9998911268372346,9186.0
nsl_kdd,NSL-KDD,ML,LightGBM,2,Probe,0.9982817869415808,0.996996996996997,0.9976389783215283,2331.0
nsl_kdd,NSL-KDD,ML,LightGBM,3,R2L,0.9899497487437185,0.9899497487437185,0.9899497487437185,199.0
nsl_kdd,NSL-KDD,ML,LightGBM,4,U2R,0.8888888888888888,0.8,0.8421052631578947,10.0
nsl_kdd,NSL-KDD,ML,Logistic Regression,0,Benign,0.9897610921501706,0.882767837255921,0.9332077544933679,13469.0
nsl_kdd,NSL-KDD,ML,Logistic Regression,1,DoS,0.9874268371992196,0.9917265403875463,0.989572018248968,9186.0
nsl_kdd,NSL-KDD,ML,Logistic Regression,2,Probe,0.7714085983921706,0.9468039468039467,0.8501540832049307,2331.0
nsl_kdd,NSL-KDD,ML,Logistic Regression,3,R2L,0.26220362622036264,0.9447236180904522,0.4104803493449782,199.0
nsl_kdd,NSL-KDD,ML,Logistic Regression,4,U2R,0.021164021164021163,0.8,0.041237113402061855,10.0
nsl_kdd,NSL-KDD,ML,Random Forest,0,Benign,0.9974072153492851,0.9996287771920707,0.9985167606051617,13469.0
nsl_kdd,NSL-KDD,ML,Random Forest,1,DoS,1.0,0.9995645547572393,0.9997822299651568,9186.0
nsl_kdd,NSL-KDD,ML,Random Forest,2,Probe,0.997845756139595,0.9935649935649936,0.9957007738607051,2331.0
nsl_kdd,NSL-KDD,ML,Random Forest,3,R2L,1.0,0.9396984924623115,0.9689119170984456,199.0
nsl_kdd,NSL-KDD,ML,Random Forest,4,U2R,0.8333333333333334,0.5,0.625,10.0
nsl_kdd,NSL-KDD,ML,XGBoost,0,Benign,0.9985907135439845,0.9995545326304848,0.9990723906348559,13469.0
nsl_kdd,NSL-KDD,ML,XGBoost,1,DoS,1.0,0.9997822773786197,0.9998911268372346,9186.0
nsl_kdd,NSL-KDD,ML,XGBoost,2,Probe,0.998278088678433,0.9948519948519948,0.9965620971207564,2331.0
nsl_kdd,NSL-KDD,ML,XGBoost,3,R2L,0.9897959183673469,0.9748743718592965,0.9822784810126582,199.0
nsl_kdd,NSL-KDD,ML,XGBoost,4,U2R,0.8,0.8,0.8,10.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,0,Analysis,0.13389121338912133,0.3595505617977528,0.1951219512195122,89.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,1,Backdoor,0.12941176470588237,0.7971014492753623,0.22267206477732793,69.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,2,Dos,0.18100890207715134,0.17784256559766765,0.17941176470588235,343.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,3,Exploits,0.715939447907391,0.5282522996057819,0.6079395085066163,1522.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,4,Fuzzers,0.28762541806020064,0.621900826446281,0.39333551127082655,968.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,5,Generic,0.9788617886178862,0.8235294117647058,0.8945022288261516,731.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,6,Normal,0.9814894532931554,0.6665692150270428,0.7939409767563332,6841.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,7,Reconnaissance,0.28524590163934427,0.32162661737523107,0.3023457862728063,541.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,8,Shellcode,0.0749063670411985,0.7894736842105263,0.13683010262257697,76.0
unsw_nb15,UNSW-NB15,DL,BiLSTM Attention,9,Worms,0.016666666666666666,0.5555555555555556,0.032362459546925564,9.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,0,Analysis,0.1645021645021645,0.42696629213483145,0.2375,89.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,1,Backdoor,0.2,0.8115942028985508,0.3209169054441261,69.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,2,Dos,0.12030075187969924,0.13994169096209913,0.1293800539083558,343.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,3,Exploits,0.8222836095764272,0.5867279894875165,0.6848159509202454,1522.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,4,Fuzzers,0.28683914510686165,0.7902892561983471,0.42090784044016505,968.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,5,Generic,0.9648,0.8248974008207934,0.8893805309734514,731.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,6,Normal,0.9900148714680264,0.6811869609706184,0.8070661586421891,6841.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,7,Reconnaissance,0.5304347826086957,0.4510166358595194,0.4875124875124875,541.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,8,Shellcode,0.1425287356321839,0.8157894736842105,0.24266144814090018,76.0
unsw_nb15,UNSW-NB15,DL,CNN-LSTM Hybrid,9,Worms,0.020066889632107024,0.6666666666666666,0.03896103896103896,9.0
